manufacturer,date,customer,dealer,order_number,amount
Front of the House,2/5/2015,"Premier Cutlery Depot, LL",Dots,3237489,67.50 
Front of the House,2/5/2015,Rosen Shingle Creek,Edward Don,603580,"9,924.05 "
Front of the House,2/5/2015,Vic and Angelo's,Cheney Brothers,603588,"1,538.74 "
Front of the House,2/5/2015,WDW Contemporary Resort F B ,Edward Don,603643,390.24 
Front of the House,2/6/2015,American Food Equipment,American Food Equipment,603663,"1,279.69 "
Front of the House,2/6/2015,Baoli Restaurant,Supplies on the Fly,603781,9.36 
Front of the House,2/6/2015,Biltmore Hotel,Edward Don,603724,629.28 
Front of the House,2/6/2015,Cos Crew Dining Flag Bui G,Supplies on the Fly,603773,959.88 
Front of the House,2/6/2015,Culinary Convenience,Culinary Convenience,603668,68.40 
Front of the House,2/6/2015,Cut 432,R.W. Smith & Co.,603680,103.20 
Front of the House,2/6/2015,Panache Party Rental,Panache Party Rental,603650,"2,097.60 "
Front of the House,2/6/2015,Ritz Carlton Naples,Wasserstrom,603774,699.72 
Front of the House,2/6/2015,SDXG The Club @ Venetian Bay,Supplies on the Fly,603728,113.52 
Front of the House,2/6/2015,White Horse International ,Supplies on the Fly,603777,378.00 
Front of the House,2/6/2015,World Golf Village/Renais,US Foods,603759,375.06 
Front of the House,2/6/2015,Yard Bird Southern Table and Bar,R.W. Smith & Co.,603681,102.00 
Front of the House,2/9/2015,Bellasera,General Hotel,603857,148.32 
Front of the House,2/9/2015,Bellasera,General Hotel,603857,148.32 
Front of the House,2/9/2015,Biltmore Hotel,Edward Don,603893,384.48 
Front of the House,2/9/2015,Caffe Italia,Supplies on the Fly,603921,39.00 
Front of the House,2/9/2015,Creekside Catering At PCVOB,Edward Don,603795,203.12 
Front of the House,2/9/2015,Creekside Catering At PCVOB,Edward Don,603899,70.92 
Front of the House,2/9/2015,Culinary Convenience,Culinary Convenience,603797,159.12 
Front of the House,2/9/2015,Culinary Convenience,Culinary Convenience,603798,719.40 
Front of the House,2/9/2015,Culinary Convenience,Culinary Convenience,603807,156.48 
Front of the House,2/9/2015,Culinary Convenience,Culinary Convenience,603807,156.48 
Front of the House,2/9/2015,Culinary Convenience,Culinary Convenience,603798,719.40 
Dudson,2/9/2015,Disney Fantasy,Disney Cruise Line,148575,"7,572.98 "
Dudson,2/9/2015,Disney Wonder,Disney Cruise Line,148577,634.12 
Front of the House,2/9/2015,Doctors Hospital ,US Foods,603815,143.68 
Front of the House,2/9/2015,General Hotel,General Hotel,603800,523.68 
Front of the House,2/9/2015,General Hotel,General Hotel,603876,322.92 
Front of the House,2/9/2015,General Hotel,General Hotel,603876,322.92 
Front of the House,2/9/2015,General Hotel,General Hotel,603799,85.44 
Front of the House,2/9/2015,Hospitality Resource Coco,Dots,3253609,550.80 
Front of the House,2/9/2015,Mandarin Oriental Miami,Mandarin Oriental Miami,603846,276.36 
Front of the House,2/9/2015,Mandarin Oriental Miami,Mandarin Oriental Miami,603846,276.32 
Front of the House,2/9/2015,S-3,Edward Don,603843,279.12 
Front of the House,2/9/2015,The Governor's Club,Supplies on the Fly,603929,25.20 
Front of the House,2/9/2015,Tommy Bahama,Edward Don,603904,146.76 
Front of the House,2/9/2015,Yolo Las Olas,Edward Don,603895,348.84 
Front of the House,2/10/2015,Beach House Restaurant,Edward Don,604047,218.40 
Front of the House,2/10/2015,Christopher's Kitchen,Cheney Brothers,603961,"1,113.36 "
Front of the House,2/10/2015,Christopher's Kitchen,Cheney Brothers,603961,"1,113.36 "
Front of the House,2/10/2015,"Creative Breakfast Concepts, Inc.","Creative Breakfast Concepts, Inc",604121,"1,129.32 "
Front of the House,2/10/2015,Culinary Convenience,Culinary Convenience,603945,168.00 
Front of the House,2/10/2015,Culinary Convenience,Culinary Convenience,604071,191.10 
Front of the House,2/10/2015,Culinary Convenience,Culinary Convenience,603945,168.00 
Front of the House,2/10/2015,Dolphin Hotel Association,Walt Disney World  Dolphin Hotel,603995,150.00 
Front of the House,2/10/2015,Dolphin Hotel Association,Walt Disney World Dolphin Hotel,603995,150.00 
Front of the House,2/10/2015,Doubletree Universal Hotel Orlando,Louis Wohl,604088,254.52 
Front of the House,2/10/2015,Doubletree Universal Hotel Orlando,Louis Wohl,604088,254.52 
Front of the House,2/10/2015,Dulcet Restaurant & Lounge,Supplies on the Fly,604086,451.60 
Front of the House,2/10/2015,Food Service Co-Op,Food Service Co-Op,603942,133.92 
Front of the House,2/10/2015,Food Service Co-Op,Food Service Co-Op,603942,133.92 
Front of the House,2/10/2015,Fuego 186th St,Sysco Food Service of South Florida,603943,790.20 
Front of the House,2/10/2015,General Hotel,General Hotel,603941,703.72 
Front of the House,2/10/2015,General Hotel,General Hotel,604073,180.48 
Front of the House,2/10/2015,Heritage Palm Golf and CC,Cheney Brothers,603953,90.00 
Front of the House,2/10/2015,Heritage Palm Golf and CC,Cheney Brothers,603953,90.00 
Front of the House,2/10/2015,Jacksonville Golf and Country club,Edward Don,604043,"1,290.96 "
Front of the House,2/10/2015,Kona Grill Tampa,Edward Don,604030,68.40 
Front of the House,2/10/2015,National Marine Suppliers,National Marine Suppliers,604115,73.98 
Front of the House,2/10/2015,Riviera Facility-CBI,Cheney Brothers,603954,165.24 
Front of the House,2/10/2015,Riviera Facility-CBI,Cheney Brothers,603954,165.24 
Front of the House,2/10/2015,Roccos Tacos and Tequila Bar - Boca,Edward Don,604028,155.16 
Front of the House,2/10/2015,Supreme Hotel and Restaurant Supply,Supreme Hotel and Restaurant Supply,604072,"1,322.40 "
Front of the House,2/11/2015,Acqualina Management LLC Resup,Edward Don,604164,118.80 
Front of the House,2/11/2015,American Food Equipment,American Food Equipment,604241,668.16 
Front of the House,2/11/2015,American Food Equipment,American Food Equipment,604242,470.52 
Front of the House,2/11/2015,American Food Equipment,American Food Equipment,604241,668.16 
Front of the House,2/11/2015,Blue Water Bistro,Edward Don,604277,136.20 
Front of the House,2/11/2015,Caps On The Water,Atlantic Distributors,604183,80.40 
Front of the House,2/11/2015,Caps On The Water,Atlantic Distributors,604183,80.40 
Front of the House,2/11/2015,Captain & Krewe,Edward Don,604167,205.20 
Front of the House,2/11/2015,Casablanca,Edward Don,604270,120.60 
Front of the House,2/11/2015,Clearwater Beach Marriott Stes,Edward Don,604146,145.44 
Front of the House,2/11/2015,Corner Gourmet,Edward Don,604147,87.12 
Front of the House,2/11/2015,Crowne Plaza Melbourne,Supplies on the Fly,604180,779.52 
Front of the House,2/11/2015,Cuvee Wine & Bistro,Gordon Food Service,604155,61.96 
Front of the House,2/11/2015,Deck 84,Supplies on the Fly,604181,182.40 
Dudson,2/11/2015,Disney Wonder,Disney Cruise Line,148647,852.15 
Front of the House,2/11/2015,Fresh Diet Inc Miami,Edward Don,604129,163.46 
Front of the House,2/11/2015,General Hotel,General Hotel,604149,493.32 
Front of the House,2/11/2015,General Hotel,General Hotel,604200,893.76 
Front of the House,2/11/2015,General Hotel,General Hotel,604239,380.52 
Front of the House,2/11/2015,General Hotel,General Hotel,604239,380.52 
Front of the House,2/11/2015,Hideway Beach Assoc Inc,Edward Don,604278,73.92 
Front of the House,2/11/2015,Island Country Club,Edward Don,604138,63.60 
Front of the House,2/11/2015,Isle At Pompano Park,Edward Don,604186,330.60 
Front of the House,2/11/2015,JW Marriott Hotel Miami,Edward Don,604194,179.40 
Front of the House,2/11/2015,Loews Miami Beach Hotel 179172,Wasserstrom,604230,330.72 
Front of the House,2/11/2015,Loews Miami Beach Hotel 179172,Wasserstrom,604230,330.72 
Front of the House,2/11/2015,Longboat Key Club,Atlantic Distributors,604198,"1,726.32 "
Front of the House,2/11/2015,Longboat Key Club,Atlantic Purchasing,604198,"1,726.32 "
Front of the House,2/11/2015,miromar lakes beach club,Edward Don,604168,545.28 
Front of the House,2/11/2015,Norwood Seafood Rest,Edward Don,604293,392.04 
Front of the House,2/11/2015,Plan Do See Miami,R.W. Smith & Co.,604176,701.76 
Front of the House,2/11/2015,Rollot Designs Inc,Rollot Designs Inc,604221,304.12 
Front of the House,2/11/2015,The Local,Edward Don,604197,130.56 
Front of the House,2/11/2015,The Sea,Edward Don,604192,39.00 
Front of the House,2/11/2015,Tween Waters Inn,Edward Don,604142,117.36 
Front of the House,2/11/2015,Universal Studios,Edward Don,604286,126.64 
Front of the House,2/11/2015,Vanderbilt Country Club,Edward Don,604161,159.60 
Front of the House,2/11/2015,WDW Animal Kingdom Lodge,Edward Don,604290,43.56 
Front of the House,2/11/2015,West Gables Rehab Hospital ,Edward Don,604271,161.16 
Front of the House,2/11/2015,Yolo Las Olas,Edward Don,604217,348.84 
Front of the House,2/12/2015,American Food Equipment,American Food Equipment,604326,273.60 
Front of the House,2/12/2015,American Food Equipment,American Food Equipment,604326,273.60 
Front of the House,2/12/2015,American Food Equipment,American Food Equipment,604326,273.60 
Front of the House,2/12/2015,Bay House Restaurant,Edward Don,604446,289.68 
Front of the House,2/12/2015,Big Bear Brewing Company,Edward Don,604309,51.84 
Front of the House,2/12/2015,Big Game Bar and Grill,Edward Don,604414,64.14 
Front of the House,2/12/2015,Boca Raton Resort Club,Edward Don,604448,"2,301.60 "
Front of the House,2/12/2015,Boca Raton Resort Club,Edward Don,604451,"2,331.18 "
Front of the House,2/12/2015,Brasserie Central,General Hotel,604427,55.92 
Front of the House,2/12/2015,Cafe Catula,Edward Don,604312,49.68 
Front of the House,2/12/2015,Culinary Convenience,Culinary Convenience,604318,265.05 
Front of the House,2/12/2015,Culinary Convenience,Culinary Convenience,604320,"1,026.00 "
Front of the House,2/12/2015,General Hotel,General Hotel,604392,376.08 
Front of the House,2/12/2015,General Hotel,General Hotel,604449,115.20 
Front of the House,2/12/2015,Gordon Food Service,Gordon Food Service,604401,261.60 
Front of the House,2/12/2015,Navy Cont Care Retirement Fund,Edward Don,604436,325.08 
Front of the House,2/12/2015,Palm Catering Hollywood,Palm Catering Hollywood,604338,"1,713.93 "
Front of the House,2/12/2015,Palm Catering Hollywood,Palm Catering Hollywood,604338,"1,713.93 "
Front of the House,2/12/2015,Pelican Cafe,Edward Don,604297,85.44 
Front of the House,2/12/2015,"Premier Cutlery Depot, LL",Dots,3263303,72.00 
Front of the House,2/12/2015,Quantum,Dots,3258945,26.70 
Front of the House,2/12/2015,Restaurant Warehouse,Restaurant Warehouse,604342,417.72 
Front of the House,2/12/2015,Ritz Carlton Amelia Island,Wasserstrom,604304,295.68 
Front of the House,2/12/2015,Seminole Hard Rock Hotel and Casino,Edward Don,604444,298.10 
Front of the House,2/12/2015,Sushi Yama Palm Beach Gardens,Edward Don,604443,448.56 
Front of the House,2/12/2015,Wasserstrom,Wasserstrom,604298,"4,306.06 "
Front of the House,2/12/2015,Tomson Hospitality,Tomson Hospitality,604323,795.60 
Front of the House,2/12/2015,Via Mizner Golf and Country Club,Edward Don,604296,651.24 
Front of the House,2/12/2015,W South Beach Hotel & Residences,Edward Don,604316,506.56 
Front of the House,2/12/2015,W South Beach Hotel & Residences,Edward Don,604411,141.44 
Front of the House,2/12/2015,WDW Contemporary California Grill,Edward Don,604301,"1,034.28 "
Front of the House,2/12/2015,WDW Yacht & Beach,Edward Don,604439,212.16 
Front of the House,2/12/2015,Worth Ave Rest Inc,Edward Don,604441,55.92 
Front of the House,2/12/2015,WYND - Shelborne Wyndham,Sysco Food Service of South Florida,604295,964.92 
Front of the House,2/13/2015,Addison Reserve Cntry Cb,Edward Don,604647,159.00 
Front of the House,2/13/2015,"Alys Beach Pools, LLC",Atlanta Fixture,604722,870.24 
Front of the House,2/13/2015,Blue Moon Hotel,Wasserstrom,604664,304.32 
Front of the House,2/13/2015,Bongos Cuban Cafe LBV,Sysco Foodservices Central Florida,604564,"7,117.81 "
Front of the House,2/13/2015,Brasserie Central,General Hotel,604513,62.16 
Front of the House,2/13/2015,Buddah Sky Bar,Edward Don,604555,396.80 
Front of the House,2/13/2015,Chops City Grill,Edward Don,604605,99.12 
Front of the House,2/13/2015,Culinary Convenience,Culinary Convenience,604726,440.56 
Front of the House,2/13/2015,Delano Hotel,General Hotel,604514,132.24 
Front of the House,2/13/2015,Diplomat Resort & Spa,Edward Don,604610,166.80 
Dudson,2/13/2015,Disney Fantasy,Disney Cruise Line,148735,"2,421.76 "
Front of the House,2/13/2015,Dolphin Hotel Association,Walt Disney World  Dolphin Hotel,604521,114.36 
Front of the House,2/13/2015,Eden Roc,R.W. Smith & Co.,604692,613.20 
Front of the House,2/13/2015,Eden Roc,Wasserstrom,604536,663.00 
Front of the House,2/13/2015,Falls Country Club Inc,Edward Don,604644,55.08 
Front of the House,2/13/2015,Francesco's Ristorante,Edward Don,604559,74.16 
Front of the House,2/13/2015,General Hotel,General Hotel,604176,549.12 
Front of the House,2/13/2015,General Hotel,General Hotel,604718,880.44 
Front of the House,2/13/2015,Gordon Food Service,Dulcet Restaurant & Lounge,604702,152.64 
Front of the House,2/13/2015,Hotel Zamora,Wasserstrom,604547,97.20 
Front of the House,2/13/2015,John Ely,Food Service Warehouse,604683,108.00 
Front of the House,2/13/2015,Jonathans Landing Inc,Edward Don,604494,48.72 
Front of the House,2/13/2015,JW Marriott Orlando,Wasserstrom,604676,"1,795.20 "
Front of the House,2/13/2015,Miami Airport Hilton,Edward Don,604502,48.96 
Front of the House,2/13/2015,Palm Beach Yacht Club Assocate,Edward Don,604637,171.36 
Front of the House,2/13/2015,Peir House Resort & Caribbean Spa,Edward Don,604631,223.44 
Front of the House,2/13/2015,Plymouth Harbor,Edward Don,604592,80.80 
Front of the House,2/13/2015,Red Ginger Asian Bistro,Edward Don,604495,216.00 
Front of the House,2/13/2015,Ritz Carlton Key Biscayne,Wasserstrom,604649,"1,125.00 "
Front of the House,2/13/2015,Ritz Carlton Naples,Wasserstrom,604667,925.50 
Front of the House,2/13/2015,Sabore,Edward Don,604498,142.74 
Front of the House,2/13/2015,University Center Club,Wasserstrom,604739,311.04 
Front of the House,2/13/2015,Vines Grille & Wine Bar,Sysco Foodservices Central Florida,604742,433.00 
Front of the House,2/13/2015,WDW Contemporary California Grill,Edward Don,604627,282.96 
Front of the House,2/13/2015,Wilderness Country Club,Edward Don,604586,39.70 
Front of the House,2/16/2015,Casa Marina,Edward Don,604898,147.78 
Front of the House,2/16/2015,Crowne Plaza Downtown Kitchen,Edward Don,604796,48.72 
Front of the House,2/16/2015,Culinary Convenience,Culinary Convenience,604903,135.94 
Front of the House,2/16/2015,Doubletree Miami Mart,Wasserstrom,604805,"1,018.56 "
Front of the House,2/16/2015,Jerico Restaurant Supply,Jerico Restaurant Supply,604853,321.48 
Front of the House,2/16/2015,Kensington Golf Country Club,Edward Don,604862,216.00 
Front of the House,2/16/2015,Kesco/ Pensacola,Dots,3278200,"1,278.00 "
Front of the House,2/16/2015,Oceania Health Club,Edward Don,604820,52.44 
Front of the House,2/16/2015,Papas Tapas,Cheney Brothers,604900,52.20 
Front of the House,2/16/2015,Seminole Hard Rock Hotel and Casino,Edward Don,604901,54.80 
Front of the House,2/16/2015,W South Beach Hotel & Residences,R.W. Smith & Co.,604920,99.36 
Front of the House,2/16/2015,WDW Animal Kingdom Lodge,Edward Don,604909,57.12 
Front of the House,2/16/2015,WDW Yacht & Beach,Edward Don,604835,108.72 
Front of the House,2/16/2015,WDW Yacht & Beach,Edward Don,604823,167.52 
Front of the House,2/17/2015,12A Buoy,Edward Don,605013,126.24 
Front of the House,2/17/2015,"723 Whiskey Bravo, LLC",Supplies on the Fly,604971,26.76 
Front of the House,2/17/2015,American Girl Miami,Edward Don,605018,32.28 
Front of the House,2/17/2015,City Oyster,Edward Don,605027,302.16 
Front of the House,2/17/2015,Country Club at Woodfield,Edward Don,605016,266.40 
Front of the House,2/17/2015,Farmers Table,Cheney Brothers,605055,371.04 
Front of the House,2/17/2015,Fontainbleau,Edward Don,605025,37.20 
Front of the House,2/17/2015,Fresh Harvest Restaurant,R.W. Smith & Co.,605071,732.00 
Front of the House,2/17/2015,Glenmoor-Life Cart St. Johns,Edward Don,605023,111.24 
Front of the House,2/17/2015,Gordon Food Service,Gordon Food Service,605033,240.00 
Front of the House,2/17/2015,Gordon Food Service,Gordon Food Service,605040,673.08 
Front of the House,2/17/2015,Gulfstream Bath Club,General Hotel,604976,287.28 
Front of the House,2/17/2015,Hilton Cocoa Beach ,Edward Don,605001,72.72 
Front of the House,2/17/2015,Hilton Fort Lauderdale,Edward Don,604935,126.64 
Front of the House,2/17/2015,Kansas Marine,Kansas Marine,604992,"2,598.00 "
Front of the House,2/17/2015,Nauti Dawg Cafe,General Hotel,605049,131.04 
Front of the House,2/17/2015,New York Pizza and Pasta,Cheney Brothers,605050,"1,162.80 "
Front of the House,2/17/2015,Seminole CC Banqets,US Foods,604933,176.00 
Front of the House,2/17/2015,Sharkys Restaurant ,Edward Don,604932,123.84 
Front of the House,2/17/2015,Social House,Food Service Warehouse,604048,444.00 
Front of the House,2/17/2015,Strand Golf Club,Edward Don,604936,56.76 
Front of the House,2/17/2015,Supreme Hotel and Restaurant Supply,Supreme Hotel and Restaurant Supply,604949,212.16 
Front of the House,2/17/2015,Supreme Hotel and Restaurant Supply,Supreme Hotel and Restaurant Supply,604949,106.08 
Front of the House,2/17/2015,Tierra del Sol,Edward Don,605006,197.76 
Front of the House,2/17/2015,Tomson Hospitality,Tomson Hospitality,604947,440.64 
Front of the House,2/17/2015,Walt Disney World Swan,Walt Disney World Swan,605047,156.96 
Front of the House,2/17/2015,WDW Epcot Canada,Edward Don,604998,"2,121.12 "
Front of the House,2/17/2015,Worth Ave Rest Inc,Edward Don,604931,42.96 
Front of the House,2/18/2015,Biscottis Expresso Cafe,Edward Don,605096,513.60 
Front of the House,2/18/2015,Biscottis Expresso Cafe,Edward Don,605093,111.12 
Bertolini HD,2/18/2015,Eckerd College,Eckerd College,49459,"11,421.00 "
Front of the House,2/18/2015,General Hotel,General Hotel,605098,79.20 
Front of the House,2/18/2015,General Hotel,General Hotel,605098,79.20 
Front of the House,2/18/2015,Marriot-Delray Beach ,Atlantic Purchasing,605116,653.40 
Front of the House,2/18/2015,Marriott-Delray Beach ,Atlantic Purchasing,605116,653.40 
Front of the House,2/18/2015,R.W. Smith Co.,R.W. Smith & Co.,605186,136.80 
Front of the House,2/18/2015,S-3,Edward Don,605082,54.48 
Front of the House,2/18/2015,SLS Hotel South Beach,RW Smith,605120,216.72 
Front of the House,2/18/2015,WDW Boardwalk Resort,Edward Don,605132,175.68 
Front of the House,2/19/2015,AZN Azian Cuizine ,Edward Don,605312,104.88 
Front of the House,2/19/2015,Barton G The Restaurant,Supplies on the Fly,605218,252.00 
Dudson,2/19/2015,Disney Dream,Disney Cruise Line,148860,540.60 
Dudson,2/19/2015,Disney Fantasy,Disney Cruise Line,148858,453.24 
Dudson,2/19/2015,Disney Magic ,Disney Cruise Line,148834,845.75 
Dudson,2/19/2015,Disney Wonder,Disney Cruise Line,148874,"1,711.80 "
Front of the House,2/19/2015,Element Miami Intl Airport,Edward Don,605338,292.32 
Front of the House,2/19/2015,Flippers on the Bay,Edward Don,605320,192.24 
Front of the House,2/19/2015,General Hotel,General Hotel,605222,544.80 
Front of the House,2/19/2015,Grand Harbor Beach Club,Wasserstrom,605231,"5,128.62 "
Front of the House,2/19/2015,Hotel Zamora,Wasserstrom,605295,206.64 
Front of the House,2/19/2015,Ocean Prime #41,Wasserstrom,605216,33.40 
Front of the House,2/19/2015,Ocean Prime #41,Wasserstrom,605219,66.80 
Front of the House,2/19/2015,Quantum,Dots,3283812,54.00 
Front of the House,2/19/2015,Roccos Tacos and Tequila Bar - Boca,Edward Don,605323,413.76 
Front of the House,2/19/2015,S-3,Edward Don,605279,"1,152.96 "
Front of the House,2/19/2015,Seminole CC Sorrisi,US Foods,605210,169.20 
Front of the House,2/19/2015,Sheraton Suites Fort Lauderdale,Wasserstrom,605243,185.40 
Front of the House,2/19/2015,SLS Hotel South Beach,RW Smith,605221,372.00 
Front of the House,2/19/2015,Wasserstrom,Wasserstrom,605262,"3,835.12 "
Dudson,2/19/2015,WDW Contemporary Resort F B ,Edward Don,148871,"2,062.80 "
Front of the House,2/19/2015,WDW Hollywood Studios Brown Derby,Edward Don,605209,456.24 
Front of the House,2/19/2015,WDW Yacht & Beach,Edward Don,605332,525.60 
Front of the House,2/20/2015,American Girl Orlando ,Edward Don,605457,100.80 
Front of the House,2/20/2015,Black Diamond Golf Club,Edward Don,605378,96.00 
Front of the House,2/20/2015,Boca Raton Resort Club,Edward Don,605479,269.12 
Front of the House,2/20/2015,Brentwood Senior Living,Edward Don,605447,41.52 
Front of the House,2/20/2015,Cafe L Europe,Edward Don,605501,71.76 
Front of the House,2/20/2015,Cocina 24,Edward Don,605393,148.32 
Front of the House,2/20/2015,Coya Restaurants,Sysco Foodservices Central Florida,605498,60.00 
Front of the House,2/20/2015,Culinary Convenience,Culinary Convenience,605365,"3,322.04 "
Front of the House,2/20/2015,Culinary Convenience,Culinary Convenience,605366,247.20 
Front of the House,2/20/2015,Culinary Convenience,Culinary Convenience,605477,43.56 
Front of the House,2/20/2015,Culinary Convenience,Culinary Convenience,605488,672.60 
Front of the House,2/20/2015,Culinary Convenience,Culinary Convenience,605366,247.20 
Front of the House,2/20/2015,Culinary Convenience,Culinary Convenience,605488,672.60 
Front of the House,2/20/2015,Culinary Convenience,Culinary Convenience,605365,"3,322.04 "
Front of the House,2/20/2015,Francesco's Ristorante,Edward Don,605456,565.26 
Front of the House,2/20/2015,General Hotel,General Hotel,605362,690.72 
Front of the House,2/20/2015,General Hotel,General Hotel,605362,690.72 
Front of the House,2/20/2015,Gulf Harbour Golf & CC 51483EG,Supplies on the Fly,605422,52.20 
Front of the House,2/20/2015,Gulf Harbour Golf & CC 51483EG,Supplies on the Fly,605422,52.20 
Front of the House,2/20/2015,Hilton Garden Inn (Miramar),Edward Don,605506,51.84 
Front of the House,2/20/2015,Intercontinental Miami,Intercontinental Miami,605412,"1,073.10 "
Front of the House,2/20/2015,Intercontinental Miami,Intercontinental Miami,605412,"1,073.10 "
Front of the House,2/20/2015,Katie Belles at the Village,Edward Don,605468,552.96 
Front of the House,2/20/2015,Kres Chophouse,Edward Don,605435,500.04 
Front of the House,2/20/2015,Mandarin Oriental Miami,Mandarin Oriental Miami,605425,183.36 
Front of the House,2/20/2015,Mandarin Oriental Miami,Mandarin Oriental Miami,605425,183.36 
Front of the House,2/20/2015,Moxie Kitchen and Cocktails,Cheney Brothers,605423,166.68 
Front of the House,2/20/2015,Moxie Kitchen and Cocktails,Cheney Brothers,605423,166.68 
Front of the House,2/20/2015,PGA National Resort and Spa,Edward Don,605363,378.04 
Front of the House,2/20/2015,Ritz Carlton South Beach ,Wasserstrom,605513,"3,794.98 "
Front of the House,2/20/2015,Roccos Tacos and Tequila Bar - Orlando ,Edward Don,605442,517.20 
Front of the House,2/20/2015,Sea The,Edward Don,605508,51.00 
Front of the House,2/20/2015,Seminole Blue Plate,US Foods,605681,"1,070.88 "
Front of the House,2/20/2015,Seminole Indian Casino Hollywood,Edward Don,605467,144.00 
Front of the House,2/20/2015,Shore Diner,Edward Don,605484,130.68 
Front of the House,2/20/2015,Sushi Maki South Miami,Edward Don,605364,115.20 
Front of the House,2/20/2015,Tommy Bahama Cafe Emporium ,Edward Don,605451,146.76 
Front of the House,2/20/2015,World Golf Resort,Edward Don,605474,88.92 
Front of the House,2/23/2015,American Food Equipment,American Food Equipment,605551,524.40 
Front of the House,2/23/2015,American Food Equipment,American Food Equipment,605559,"1,230.60 "
Front of the House,2/23/2015,Bice,Cheney Brothers,605641,99.84 
Front of the House,2/23/2015,Bice,Cheney Brothers,605641,99.84 
Front of the House,2/23/2015,Compass/ Fultons Crab House,Louis Wohl,605623,60.80 
Front of the House,2/23/2015,Florida Keys Lobster House,Edward Don,605588,318.00 
Front of the House,2/23/2015,Fooq's,Sysco Food Service of South Florida,605616,"1,205.52 "
Front of the House,2/23/2015,Grand Cafe Key West,Edward Don,605595,244.20 
Front of the House,2/23/2015,H2 Tapas & Wine Bar,Edward Don,605655,128.16 
Front of the House,2/23/2015,H2 Tapas & Wine Bar,Edward Don,605655,128.16 
Front of the House,2/23/2015,Harbour Ridge Country Club Inc,Edward Don,605619,352.73 
Front of the House,2/23/2015,Intercontinental Miami,Intercontinental Miami,605584,"1,281.00 "
Front of the House,2/23/2015,Intercontinental Miami,Intercontinental Miami,605648,149.76 
Front of the House,2/23/2015,Marco Prime Steaks & Seafood,Edward Don,605652,151.08 
Front of the House,2/23/2015,Marco Prime Steaks & Seafood,Edward Don,605652,151.08 
Front of the House,2/23/2015,Marriott Orlando World Resort & Convention Center,Wasserstrom,605540,677.76 
Front of the House,2/23/2015,National Marine Suppliers,National Marine Suppliers,605612,290.10 
Front of the House,2/23/2015,Renaissance Orlando Resort,Wasserstrom,605543,594.00 
Front of the House,2/23/2015,Residence Inn Lake Mary,Wasserstrom,605534,96.12 
Front of the House,2/23/2015,Riviera Facility-CBI,Cheney Brothers,605640,750.00 
Front of the House,2/23/2015,Riviera Facility-CBI,Cheney Brothers,605640,750.00 
Front of the House,2/23/2015,Riviera Facility-CBI,Cheney Brothers,605640,750.00 
Front of the House,2/23/2015,Seminole Sunset Grill,US Foods,605528,540.00 
Front of the House,2/23/2015,Spoto's Oyster Bar Stuart,Wasserstrom,605537,78.72 
Front of the House,2/23/2015,Tampa Pizza Company,Edward Don,605650,345.36 
Front of the House,2/23/2015,The Lido At The Standard Hotel,Sysco Food Service of South Florida,605529,223.20 
Front of the House,2/23/2015,The Perfect Caper KD G,Supplies on the Fly,605589,58.68 
Front of the House,2/23/2015,The Perfect Caper KD G,Supplies on the Fly,605589,58.68 
Front of the House,2/23/2015,Trump International Beach Resort,R.W. Smith & Co.,605542,239.76 
Front of the House,2/24/2015,Cafe Boulud,Edward Don,605733,72.96 
Front of the House,2/24/2015,General Hotel,General Hotel,605777,300.96 
Front of the House,2/24/2015,Hilton Cocoa Beach ,Edward Don,605717,67.84 
Front of the House,2/24/2015,Hilton Garden Airport Embassy,Edward Don,605720,64.14 
Front of the House,2/24/2015,Hudson's ,Cheney Brothers,605802,91.80 
Front of the House,2/24/2015,Island House,Supplies on the Fly,605806,69.00 
Front of the House,2/24/2015,Lido Beach Resort,Atlantic Purchasing,605805,288.48 
Front of the House,2/24/2015,Mar-A-Lago Club LLC,Edward Don,605763,229.68 
Front of the House,2/24/2015,Moon Thai & Japanese ,Food Service Warehouse,605841,227.34 
Front of the House,2/24/2015,Nevermind Awesome Bar and Bake,Chef's Warehouse,605780,522.60 
Front of the House,2/24/2015,Nevermind Awesome Bar and Bake,Chef's Warehouse,605780,522.60 
Front of the House,2/24/2015,Seminole Production ,US Foods,605812,404.08 
Front of the House,2/24/2015,Surfcomber Hotel,R.W. Smith & Co.,605825,102.80 
Front of the House,2/24/2015,Talis Park Golf Club,Edward Don,605724,87.12 
Front of the House,2/24/2015,Tee Jay Thai Sushi,Edward Don,605706,309.00 
Front of the House,2/24/2015,Thai House II,Edward Don,605702,309.00 
Front of the House,2/24/2015,Tierra del Sol,Edward Don,605723,197.76 
Front of the House,2/24/2015,Universal Studios,Edward Don,605818,126.64 
Front of the House,2/24/2015,WDW Contemporary Resort F B ,Edward Don,605709,256.80 
Front of the House,2/24/2015,Worth Ave Rest Inc,Edward Don,605856,42.96 
Front of the House,2/25/2015,Angelinas Risotrante,Edward Don,605970,174.72 
Front of the House,2/25/2015,Armadillo Cafe,Supplies on the Fly,605889,"1,628.12 "
Front of the House,2/25/2015,Bongos Cuban Cafe LBV,Sysco Foodservices Central Florida,606081,"6,146.08 "
Front of the House,2/25/2015,Cafe Dufrain,Louis Wohl,605927,243.18 
Front of the House,2/25/2015,Cafe Dufrain,Louis Wohl,605927,243.18 
Front of the House,2/25/2015,Captain & Krewe,Edward Don,605933,661.20 
